read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
bf29.,Dopamet,*DOPAMET 125mg tablets,Methyldopa,,125 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2a.,Dopamet,*DOPAMET 250mg tablets,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2b.,Dopamet,*DOPAMET 500mg tablets,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2c.,Medomet,MEDOMET 250mg capsules,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2d.,Medomet,MEDOMET 250mg tablets,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2e.,Medomet,MEDOMET 500mg tablets,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2f.,Hydromet,*HYDROMET tablets,Methyldopa,,,Centrally-Acting Antihypertensive Drugs,False,False
bf2g.,Metalpha,*METALPHA 250mg tablets,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2h.,Metalpha,*METALPHA 500mg tablets,Methyldopa,,500 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf2j.,Methyldopa,METHYLDOPA+HYDROCHLOROTHIAZIDE 250mg/15mg tablets,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,True
bf2v.,Methyldopa,METHYLDOPA 250mg/5mL oral mixture,Methyldopa,,250 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
bf2w.,Methyldopa,METHYLDOPATE HYDROCHLORIDE 250mg/5mL injection,Methyldopa,,250 mg/5 ml,Centrally-Acting Antihypertensive Drugs,False,False
bf2z.,Methyldopa,METHYLDOPA 250mg capsules,Methyldopa,,250 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf33.,Decaserpyl,*DECASERPYL 5mg tablets,Reserpine And Rauwolfia Alkaloids,,5 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf34.,Decaserpyl,*DECASERPYL 10mg tablets,Reserpine And Rauwolfia Alkaloids,,10 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf35.,Hypercal,*HYPERCAL 2mg tablets,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf36.,Rauwiloid,*RAUWILOID 2mg tablets,Reserpine And Rauwolfia Alkaloids,,2 mg,Centrally-Acting Antihypertensive Drugs,False,False
bf37.,Serpasil,*SERPASIL 100microgram tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bf38.,Serpasil,*SERPASIL 250microgram tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bf39.,Abicol,*ABICOL tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bf3a.,Decaserpyl,*DECASERPYL PLUS tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bf3b.,Rautrax,*RAUTRAX tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,False
bf3c.,Serpasil,*SERPASIL-ESIDREX tablets,Reserpine And Rauwolfia Alkaloids,,,Centrally-Acting Antihypertensive Drugs,False,True
bf4..,Moxonidine,MOXONIDINE,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf41.,Moxonidine,MOXONIDINE 200micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf42.,Moxonidine,MOXONIDINE 400micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf43.,Physiotens,PHYSIOTENS 200micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf44.,Physiotens,PHYSIOTENS 400micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf45.,Moxonidine,MOXONIDINE 300micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bf46.,Physiotens,PHYSIOTENS 300micrograms tablets,Moxonidine,,,Centrally-Acting Antihypertensive Drugs,False,False
bg1..,Betanidine Sulf,BETANIDINE SULFATE,Betanidine Sulfate,,,Adrenergic Neurone Blocking Drugs,False,False
bg13.,Bendogen,*BENDOGEN 10mg tablets,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
bg14.,Bendogen,*BENDOGEN 50mg tablets,Betanidine Sulfate,,50 mg,Adrenergic Neurone Blocking Drugs,False,False
bg15.,Esbatal,*ESBATAL 10mg tablets,Betanidine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
bg16.,Esbatal,*ESBATAL 50mg tablets,Betanidine Sulfate,,50 mg,Adrenergic Neurone Blocking Drugs,False,False
bg21.,Declinax,*DECLINAX 10mg tablets,Debrisoquine Sulfate,,10 mg,Adrenergic Neurone Blocking Drugs,False,False
bg22.,Declinax,*DECLINAX 20mg tablets,Debrisoquine Sulfate,,20 mg,Adrenergic Neurone Blocking Drugs,False,False
bg3..,Guanethidine Monosulfate,GUANETHIDINE MONOSULFATE [ANTIHYPERTENSIVE],Guanethidine Monosulfate,,,Adrenergic Neurone Blocking Drugs,False,False
bh1..,Indoramin,INDORAMIN,Indoramin,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh11.,Baratol,*BARATOL 25mg tablets,Indoramin,,25 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh12.,Baratol,*BARATOL 50mg tablets,Indoramin,,50 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh14.,Indoramin,INDORAMIN 20mg tablets,Indoramin,,20 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh1y.,Indoramin,INDORAMIN 25mg tablets,Indoramin,,25 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh1z.,Indoramin,*INDORAMIN 50mg tablets,Indoramin,,50 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh2..,Phenoxybenzamine Hydrochloride,PHENOXYBENZAMINE HYDROCHLORIDE [CARDIOVASCULAR USE],Phenoxybenzamine Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
bh21.,Dibenyline,DIBENYLINE [CVS] 10mg capsules,Phenoxybenzamine Hydrochloride,,10 mg,Alpha-Adrenoceptor Blocking Drugs,False,False
bh22.,Dibenyline,DIBENYLINE 100mg/2mL injection,Phenoxybenzamine Hydrochloride,,100 mg/2 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
bh31.,Rogitine,*ROGITINE 10mg/1mL injection,Phentolamine Mesilate,,10 mg/1 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
bh32.,Rogitine,*ROGITINE 50mg/5mL injection,Phentolamine Mesilate,,50 mg/5 ml,Alpha-Adrenoceptor Blocking Drugs,False,False
bh4..,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE,Prazosin Hydrochloride,,,Alpha-Adrenoceptor Blocking Drugs,False,False
