bnf_code,brand_name,presentation,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
0205010U0BBAAAA,Tracleer,Tracleer_Tab 62.5mg,Bosentan,,62.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010U0BBABAB,Tracleer,Tracleer_Tab 125mg,Bosentan,,125 mg,Vasodilator Antihypertensive Drugs,False,False
0205010U0BCAAAA,Stayveer,Stayveer_Tab 62.5mg,Bosentan,,62.5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010U0BCABAB,Stayveer,Stayveer_Tab 125mg,Bosentan,,125 mg,Vasodilator Antihypertensive Drugs,False,False
0205010V0AAAAAA,Iloprost,Iloprost_I/V Inf 100mcg/ml 1ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010V0AAABAB,Iloprost,Iloprost_I/V Inf 100mcg/ml 0.5ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010V0AAACAC,Iloprost,Iloprost_Neb Soln 10mcg/1ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010V0AAADAD,Iloprost,Iloprost_Neb Soln 20mcg/1ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010V0BBAAAC,Ventavis,Ventavis_Neb Soln 10mcg/ml 1ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010V0BBABAD,Ventavis,Ventavis_Neb Soln 20mcg/ml 1ml Amp,Iloprost,,,Vasodilator Antihypertensive Drugs,False,False
0205010W0AAAAAA,Sitaxentan Sod,Sitaxentan Sod_Tab 100mg,Sitaxentan Sodium,,100 mg,Vasodilator Antihypertensive Drugs,False,False
0205010W0BBAAAA,Thelin,Thelin_Tab 100mg,Sitaxentan Sodium,,100 mg,Vasodilator Antihypertensive Drugs,False,False
0205010X0AAAAAA,Ambrisentan,Ambrisentan_Tab 5mg,Ambrisentan,,5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010X0AAABAB,Ambrisentan,Ambrisentan_Tab 10mg,Ambrisentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010X0BBAAAA,Volibris,Volibris_Tab 5mg,Ambrisentan,,5 mg,Vasodilator Antihypertensive Drugs,False,False
0205010X0BBABAB,Volibris,Volibris_Tab 10mg,Ambrisentan,,10 mg,Vasodilator Antihypertensive Drugs,False,False
0205010Y0AAAAAA,Sildenafil(Vasodilator Antihypertensive),Sildenafil_Tab 20mg,Sildenafil(Vasodilator Antihypertensive),,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010Y0AAABAB,Sildenafil(Vasodilator Antihypertensive),Sildenafil_Oral Susp 10mg/ml S/F,Sildenafil(Vasodilator Antihypertensive),,10 mg/mL,Vasodilator Antihypertensive Drugs,False,False
0205010Y0AAACAC,Sildenafil(Vasodilator Antihypertensive),Sildenafil_Inj 800mcg/ml 12.5ml Vl,Sildenafil(Vasodilator Antihypertensive),,,Vasodilator Antihypertensive Drugs,False,False
0205010Y0BBAAAA,Revatio,Revatio_Tab 20mg,Sildenafil(Vasodilator Antihypertensive),,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010Y0BBABAB,Revatio,Revatio_Oral Susp 10mg/ml,Sildenafil(Vasodilator Antihypertensive),,10 mg/mL,Vasodilator Antihypertensive Drugs,False,False
0205010Y0BBACAC,Revatio,Revatio_Inj 800mcg/ml 12.5ml Vl,Sildenafil(Vasodilator Antihypertensive),,,Vasodilator Antihypertensive Drugs,False,False
0205010Y0BCAAAA,Granpidam,Granpidam_Tab 20mg,Sildenafil(Vasodilator Antihypertensive),,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010Z0AAAAAA,Tadalafil (Vasodilator Antihypertensive),Tadalafil_Tab 20mg,Tadalafil (Vasodilator Antihypertensive),,20 mg,Vasodilator Antihypertensive Drugs,False,False
0205010Z0BBAAAA,Adcirca,Adcirca_Tab 20mg,Tadalafil (Vasodilator Antihypertensive),,20 mg,Vasodilator Antihypertensive Drugs,False,False
020502000BPAAA0,Proprietary Co Prepn Bnf 0205020,Brinerdin_Tab,Other Antihypertensive Preps,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAAAA,Clonidine HCl (Vasodilator),Clonidine HCl_Cap 250mcg M/R,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAABAB,Clonidine HCl (Vasodilator),Clonidine HCl_Inj 150mcg/ml 1ml Amp,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAACAC,Clonidine HCl (Vasodilator),Clonidine HCl_Tab 100mcg,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAADAD,Clonidine HCl (Vasodilator),Clonidine HCl_Tab 300mcg,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAEAE,Clonidine HCl (Vasodilator),Clonidine HCl_Skin Patch 2.5mg,Clonidine Hydrochloride,,2.5 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAFAF,Clonidine HCl (Vasodilator),Clonidine HCl_Skin Patch 100mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAGAG,Clonidine HCl (Vasodilator),Clonidine HCl_Skin Patch 200mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAHAH,Clonidine HCl (Vasodilator),Clonidine HCl_Skin Patch 300mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAIAI,Clonidine HCl (Vasodilator),Clonidine HCl_Inf 7.787mg/100ml(Paragon),Clonidine Hydrochloride,,787 mg/100 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0AAAJAJ,Clonidine HCl (Vasodilator),Clonidine HCl_Inf 6.750mg/100ml(Paragon),Clonidine Hydrochloride,,750 mg/100 ml,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBAAAC,Catapres,Catapres_Tab 0.1mg,Clonidine Hydrochloride,,0.1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBABAD,Catapres,Catapres_Tab 0.3mg,Clonidine Hydrochloride,,0.3 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBACAA,Catapres,Catapres P.L._Perlongets 0.25mg,Clonidine Hydrochloride,,0.25 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBADAB,Catapres,Catapres_Inj 0.15mg/ml 1ml Amp,Clonidine Hydrochloride,,15 mg/mL,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBAEAF,Catapres,Catapres TTS 1_Patch 100mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBAFAG,Catapres,Catapres TTS 2_Patch 200mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020E0BBAGAH,Catapres,Catapres TTS 3_Patch 300mcg/24hrs,Clonidine Hydrochloride,,,Centrally-Acting Antihypertensive Drugs,False,False
0205020G0AAAAAA,Guanfacine HCl,Guanfacine HCl_Tab 1mg (Old),Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020G0AAABAB,Guanfacine HCl,Guanfacine HCl_Tab 1mg (Import),Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020G0AAACAC,Guanfacine HCl,Guanfacine HCl_Tab 1mg,Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020G0BBAAAA,Estulic,Estulic_Tab 1mg,Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
0205020G0BCAAAA,Akfen,Akfen_Tab 1mg,Guanfacine Hydrochloride,,1 mg,Centrally-Acting Antihypertensive Drugs,False,False
