,read_code,brand_name,term_description,term,quantity,dose,group,with_calcium_channel_blocker,with_diuretic
778,b22y.,Chloroth,CHLOROTHIAZIDE 250mg/5mL oral suspension,Chlorothiazide,,250 mg/5 ml,diuretic,False,True
779,b22z.,Chloroth,*CHLOROTHIAZIDE 500mg tablets,Chlorothiazide,,500 mg,diuretic,False,True
780,b23..,Chlortalidone,CHLORTALIDONE,Chlortalidone,,,diuretic,False,True
781,b231.,Hygroton,HYGROTON 50mg tablets,Chlortalidone,,50 mg,diuretic,False,True
782,b232.,Hygroton,*HYGROTON 100mg tablets,Chlortalidone,,100 mg,diuretic,False,True
783,b23y.,Chlortalidone,CHLORTALIDONE 50mg tablets,Chlortalidone,,50 mg,diuretic,False,True
784,b25..,Cyclopenth,CYCLOPENTHIAZIDE,Cyclopenthiazide,,,diuretic,False,True
785,b251.,Navidrex,NAVIDREX 500micrograms tablets,Cyclopenthiazide,,,diuretic,False,True
786,b25z.,Cyclopenth,CYCLOPENTHIAZIDE 500microgram tablets,Cyclopenthiazide,,,diuretic,False,True
787,b26..,Chloroth,HYDROCHLOROTHIAZIDE,Chlorothiazide,,,diuretic,False,True
788,b261.,Esidrex,*ESIDREX 25mg tablets,Hydrochlorothiazide,,25 mg,diuretic,False,True
789,b262.,Esidrex,*ESIDREX 50mg tablets,Hydrochlorothiazide,,50 mg,diuretic,False,True
790,b263.,Saluric,*HYDROSALURIC 25mg tablets,Chlorothiazide,,25 mg,diuretic,False,True
791,b264.,Saluric,*HYDROSALURIC 50mg tablets,Chlorothiazide,,50 mg,diuretic,False,True
792,b26y.,Chloroth,HYDROCHLOROTHIAZIDE 50mg tablets,Chlorothiazide,,50 mg,diuretic,False,True
793,b26z.,Chloroth,HYDROCHLOROTHIAZIDE 25mg tablets,Chlorothiazide,,25 mg,diuretic,False,True
794,b27..,Hydroflumet,HYDROFLUMETHIAZIDE,Hydroflumethiazide,,,diuretic,False,True
795,b271.,Hydrenox,*HYDRENOX 50mg tablets,Hydroflumethiazide,,50 mg,diuretic,False,True
796,b27z.,Hydroflumet,HYDROFLUMETHIAZIDE 50mg tablets,Hydroflumethiazide,,50 mg,diuretic,False,True
797,b28..,Indapamide,INDAPAMIDE,Indapamide,,,diuretic,False,True
798,b281.,Natrilix,NATRILIX 2.5mg tablets,Indapamide,,2.5 mg,diuretic,False,True
799,b282.,Indaxa 2.5,*NINDAXA 2.5mg tablets,Indapamide,,2.5 mg,diuretic,False,True
800,b283.,Natramid,*NATRAMID 2.5mg tablets,Indapamide,,2.5 mg,diuretic,False,True
801,b284.,Opumide,*OPUMIDE 2.5mg tablets,Indapamide,,2.5 mg,diuretic,False,True
802,b285.,Indapamide,INDAPAMIDE 1.5mg m/r tablets,Indapamide,,1.5 mg,diuretic,False,True
803,b286.,Natrilix,NATRILIX SR 1.5mg m/r tablets,Indapamide,,1.5 mg,diuretic,False,True
804,b287.,Ethibide XL,ETHIBIDE XL 1.5mg m/r tablets,Indapamide,,1.5 mg,diuretic,False,True
805,b288.,Indipam XL,INDIPAM XL 1.5mg m/r tablets,Indapamide,,1.5 mg,diuretic,False,True
806,b289.,Mapemid,MAPEMID XL 1.5mg m/r tablets,Indapamide,,1.5 mg,diuretic,False,True
807,b28z.,Indapamide,INDAPAMIDE 2.5mg tablets,Indapamide,,2.5 mg,diuretic,False,True
808,b29..,Mefruside,MEFRUSIDE,Mefruside,,,diuretic,False,True
809,b291.,Baycaron,*BAYCARON 25mg tablets,Mefruside,,25 mg,diuretic,False,True
810,b29z.,Mefruside,*MEFRUSIDE 25mg tablets,Mefruside,,25 mg,diuretic,False,True
811,b2a..,Methyclothiazide,*METHYCLOTHIAZIDE,Methyclothiazide,,,diuretic,False,True
812,b2a1.,Enduron,*ENDURON 5mg tablets,Methyclothiazide,,5 mg,diuretic,False,True
813,b2az.,Methyclothiazide,*METHYCLOTHIAZIDE 5mg tablets,Methyclothiazide,,5 mg,diuretic,False,True
814,b2b..,Metolazone,METOLAZONE,Metolazone,,,diuretic,False,True
815,b2b1.,Metenix,*METENIX-5 5mg tablets,Metolazone,,5 mg,diuretic,False,True
816,b2b2.,Xuret,*XURET 500micrograms tablets,Metolazone,,,diuretic,False,True
817,b2b3.,Metolazone,METOLAZONE 500micrograms tablets,Metolazone,,,diuretic,False,True
818,b2bz.,Metolazone,*METOLAZONE 5mg tablets,Metolazone,,5 mg,diuretic,False,True
819,b2c..,Polythiazide,POLYTHIAZIDE,Polythiazide,,,diuretic,False,True
820,b2c1.,Nephril,*NEPHRIL 1mg tablets,Polythiazide,,1 mg,diuretic,False,True
821,b2cz.,Polythiazide,*POLYTHIAZIDE 1mg tablets,Polythiazide,,1 mg,diuretic,False,True
822,b2d..,Xipamide,XIPAMIDE,Xipamide,,,diuretic,False,True
823,b2d1.,Diurexan,DIUREXAN 20mg tablets,Xipamide,,20 mg,diuretic,False,True
824,b2dz.,Xipamide,XIPAMIDE 20mg tablets,Xipamide,,20 mg,diuretic,False,True
825,b31..,Furosemide,FUROSEMIDE,Furosemide,,,diuretic,False,True
826,b311.,Furosemide,FUROSEMIDE 20mg tablets,Furosemide,,20 mg,diuretic,False,True
827,b312.,Furosemide,FUROSEMIDE 40mg tablets,Furosemide,,40 mg,diuretic,False,True
828,b313.,Furosemide,FUROSEMIDE 500mg tablets,Furosemide,,500 mg,diuretic,False,True
829,b314.,Aluzine,*ALUZINE 20mg tablets,Furosemide,,20 mg,diuretic,False,True
830,b315.,Aluzine,*ALUZINE 40mg tablets,Furosemide,,40 mg,diuretic,False,True
831,b316.,Aluzine,*ALUZINE 500mg tablets,Furosemide,,500 mg,diuretic,False,True
832,b317.,Diuresal,*DIURESAL 40mg tablets,Furosemide,,40 mg,diuretic,False,True
833,b318.,Diuresal,*DIURESAL 20mg/2mL injection,Furosemide,,20 mg/2 ml,diuretic,False,True
834,b319.,Diuresal,*DIURESAL 50mg/5mL injection,Furosemide,,50 mg/5 ml,diuretic,False,True
835,b31a.,Dryptal,*DRYPTAL 40mg tablets,Furosemide,,40 mg,diuretic,False,True
836,b31b.,Dryptal,*DRYPTAL 500mg tablets,Furosemide,,500 mg,diuretic,False,True
837,b31c.,Dryptal,*DRYPTAL 20mg/2mL injection,Furosemide,,20 mg/2 ml,diuretic,False,True
838,b31C.,Furosemide,FUROSEMIDE 80mg/8mL prefilled syringe,Furosemide,,80 mg/8 ml,diuretic,False,True
